id,Name,Artist,Album,Genre,Comments,Location,Grouping
baf075db-9497-429c-999b-9dae640476bf,Coming Out,,,Set,,file:///Users/renier.botha/Music/DJ/Files/2022/Set/Coming%20Out.mp3,
65a0e41c-40b8-475f-a7ed-4c0551799e70,Stranger Than Love,Mark Stewart,Mark Stewart,Alternative Rock,"Indie, Nostalgia",file:///Users/renier.botha/Music/DJ/Files/2022/Alternative%20Rock/09%20Stranger%20Than%20Love.mp3,
21ce4791-0957-4b3e-bd80-fd00693947be,A-Punk,Vampire Weekend,Vampire Weekend,Alternative Rock,,file:///Users/renier.botha/Music/DJ/Files/2022/Alternative%20Rock/03%20A-Punk.mp3,
21fc1881-ed19-4ba2-9ecd-cbfa029266f3,Raw Cuts #1,Motor City Drum Ensemble,Raw Cuts Vol. 1,House,"Funk, Synth, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/House/07%20Raw%20Cuts%20%231.mp3,
68c25423-b475-4c39-9048-c15187a04f45,Jailbreak (House Tip),Paradox,,House,"Funk, Rhythmic, Groover, Breather, Breakbeat",file:///Users/renier.botha/Music/DJ/Files/2022/House/Jailbreak%20(House%20Tip).mp3,
8ecf7b70-9cfc-4604-81d1-5f71c92312d9,2 The Sky (Metatron's What If There's No End And No Beginning Mix),Traumprinz,2 The Sky,Techno,"Breather, Euphoric, House, Mover",file:///Users/renier.botha/Music/DJ/Files/2022/Techno/02%202%20The%20Sky%20(Metatron's%20What%20If%20There's%20No%20End%20And%20No%20Beginning%20Mix).mp3,
8910ce05-c19f-4289-ac0a-dbc4ce0e4530,Make You Whole (Lisa Marie Experience Mix),Andronicus,,Rave,"Progressive, Old-school, Banger",file:///Users/renier.botha/Music/DJ/Files/2022/Rave/Make%20You%20Whole%20(Lisa%20Marie%20Experience%20Mix).mp3,
ebf819e1-adcc-4044-a26a-6755d0a4e942,Dancing In Outer Space (masters at work Lunar Mix Part 1),Atmosfear,Defected presents House Masters: Masters At Work,House,"Garage, Progressive, Funk, Summer, Dancefloor",file:///Users/renier.botha/Music/DJ/Files/2022/House/25%20Dancing%20In%20Outer%20Space%20(masters%20at%20work%20Lunar%20Mix%20Part%201).mp3,
f919b47f-1069-4bf3-afb9-91e3317f771a,Quatro,Ian Pooley,Ready To Flow,House,"Progressive, Funk, Groover, Acid",file:///Users/renier.botha/Music/DJ/Files/2022/House/03%20Quatro.mp3,
fecd392d-f588-40f3-adb3-1e2194ed8d07,Monster Box,Jayson Brothers,Raw Cuts Vol. 1,House,"Funk, Soul, Detroit, Synth, Groover, Mover",file:///Users/renier.botha/Music/DJ/Files/2022/House/02%20Monster%20Box.mp3,
cd44d737-563d-43aa-a1d5-f5bcba47066a,This Thing (Vocal Mix Edit),"Jimpster, Rich Medina",This Thing,House,"Progressive, Rhythmic, Detroit, Soul, Intro, Builder",file:///Users/renier.botha/Music/DJ/Files/2022/House/This%20Thing%20(Vocal%20Mix%20Edit).mp3,
b05bc37f-7291-4917-9393-ae193c720279,Coracao Tambor (feat. Rosanna & Zélia),Ian Pooley,Since Then,House,"Disco, Brazil, Funk, Rhythmic, Summer, Intro, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/House/05%20Coracao%20Tambor%20(feat.%20Rosanna%20&%20Ze%CC%81lia).mp3,
44cf1729-c76f-4b9c-a26f-82527f8175fd,Venus (Sunshine People),Cheek,Venus (Sunshine People) [Remix],House,"Progressive, Funk, Banger, Dub, Soul, Summer",file:///Users/renier.botha/Music/DJ/Files/2022/House/Venus%20(Sunshine%20People).mp3,Ian Pooley
077a3377-e325-4edc-a243-682a0e3a6806,False Consciousness,Fantastic Man,DJ-Kicks,House,"Minimal, Intro, Mover, Skip",file:///Users/renier.botha/Music/DJ/Files/2022/House/03%20False%20Consciousness.mp3,
42f36995-d9fe-4fd4-af4a-2889ec86ee13,Hold On (Classic Vocal),Romanthony,[Roulé307] Hold On,House,"Soul, Anthem, Intro, Mover, Breather",file:///Users/renier.botha/Music/DJ/Files/2022/House/01%20Hold%20On%20(Classic%20Vocal).mp3,
e202eace-6360-4080-ac61-02d61aff7eda,Grand Finale,Prime Minister of Doom,Mudshadow Propaganda,House,"Space, Mover, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/House/06%20Grand%20Finale.mp3,
7ae09dae-53b9-48cb-ae09-2b7e619aa640,Just Click (MHR016 2),Ekkohaus ,,House,"Detroit, Groover, Dancefloor",file:///Users/renier.botha/Music/DJ/Files/2022/House/Just%20Click%20(MHR016%202).mp3,
8ac92330-5002-4a3f-bec4-d42b4f3f993a,At Night (Kid Creme Mix),Shakedown,,House,"Funk, Rave, Club, Banger",file:///Users/renier.botha/Music/DJ/Files/2022/House/At%20Night%20(Kid%20Creme%20Mix).mp3,
ef3b7418-b4f3-492c-9f46-b8fbf64765e4,In An Emergency,Ross from Friends,,House,"Lo-fi, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/House/In%20An%20Emergency.mp3,
